"air_quality_index (aqi)","city_code (idx)","time","latitude","longitude","city_name","carbon_monoxide (co)","nitrogen_dioxide (no2)","ground_level_ozone (o3)","air_pressure (p)","coarse_particulate_matter (pm10)","fine_particulate_matter (pm2.5)","sulfur_dioxide (so2)","temperature (t)","wind_speed (w)","humidity (h)"
"156.0","3193","2019-04-17 20:00:00.000","51.52253","-0.154611","London Marylebone Road, United Kingdom","11.1","40.4","7.4","1018.7","61.0","156.0","2.1","17.4",,"62.8"
"154.0","3166","2019-04-17 20:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","11.1","33.4","7.4","1018.7","62.0","154.0","2.1","17.4",,"62.8"
"128.0","3194","2019-04-17 20:00:00.000","51.52105","-0.213492","London N. Kensington, United Kingdom","3.8","19.5","28.0","1011.1","52.0","128.0","1.8","12.7",,"55.5"
"152.0","10874","2019-04-17 20:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","11.1","27.3","7.4","1018.7","61.0","152.0","2.1","17.4",,"62.8"
"154.0","3189","2019-04-17 20:00:00.000","51.52229","-0.125889","London Bloomsbury, United Kingdom","11.1","29.6","13.5","1018.7","63.0","154.0","1.0","17.4",,"62.8"
"109.0","3191","2019-04-17 20:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"9.8","37.3","1011.7","42.0","109.0",,"12.8","1.1","56.5"
"153.0","7949","2019-04-17 19:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1018.7",,"153.0",,"17.4",,"62.8"
"153.0","3166","2019-04-17 19:00:00.000","51.54421","-0.175269","Camden Kerbside, United Kingdom","10.5","33.5","15.0","1019.8","59.0","153.0","2.3","14.4","3.6",
"134.0","8919","2019-04-17 19:00:00.000","51.513847","-0.07776568","City of London - Sir John Cass School, United Kingdom",,"31.6",,"1018.7","57.0","134.0",,"17.4",,"62.8"
"82.0","7944","2019-04-17 19:00:00.000","51.552475","-0.258089","Brent - Ikea, United Kingdom",,"42.9",,"1012.2","61.0","82.0",,"12.7","1.2","57.5"
"72.0","10875","2019-04-17 19:00:00.000","51.532406","-0.21771891","Brent - ARK Franklin Primary Academy, United Kingdom",,"26.6",,"1011.7","54.0","72.0",,"12.7","1.1","56.6"
"128.0","3191","2019-04-17 19:00:00.000","51.48879","-0.441614","London Harlington, United Kingdom",,"8.9","35.4","1012.2","51.0","128.0",,"13.8","2.2","55.8"
"107.0","10874","2019-04-17 19:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","10.5","20.9","12.9","1018.7","58.0","107.0","2.3","17.4",,"62.8"
"151.0","7949","2019-04-17 18:00:00.000","51.514526","-0.10451563","City of London - Farringdon Street, United Kingdom",,,,"1018.7",,"151.0",,"17.4",,"62.8"
"112.0","10874","2019-04-17 18:00:00.000","51.49467","-0.131931","London Westminster, United Kingdom","10.5","23.6","12.9","1018.7","58.0","112.0","2.3","17.4",,"62.8"
"143.0","3194","2019-04-17 18:00:00.000","51.52105","-0.213492","London N. Kensington, United Kingdom","3.8","19.5","28.0","1014.1","51.0","143.0","1.8","13.9","2.4","58.7"
"153.0","3193","2019-04-17 18:00:00.000","51.52253","-0.154611","London Marylebone Road, United Kingdom","10.5","33.8","15.0","1018.7","58.0","153.0","2.3","17.4",,"62.8"
"56.0","7946","2019-04-17 18:00:00.000","51.526455","-0.08491","Hackney - Old Street, United Kingdom",,"33.7","14.5","1018.7","56.0","52.0",,"17.4",,"62.8"
"148.0","7945","2019-04-17 18:00:00.000","51.527706","-0.1290532","Camden - Euston Road, United Kingdom",,"49.1",,"1018.7","56.0","148.0",,"17.4",,"62.8"
